dt,confirmed,recovered,deceased
30-January-2020,1,0,0
31-January-2020,0,0,0
01-February-2020,0,0,0
02-February-2020,1,0,0
03-February-2020,1,0,0
04-February-2020,0,0,0
05-February-2020,0,0,0
06-February-2020,0,0,0
07-February-2020,0,0,0
08-February-2020,0,0,0
09-February-2020,0,0,0
10-February-2020,0,0,0
11-February-2020,0,0,0
12-February-2020,0,0,0
13-February-2020,0,1,0
14-February-2020,0,0,0
15-February-2020,0,0,0
16-February-2020,0,1,0
17-February-2020,0,0,0
18-February-2020,0,0,0
19-February-2020,0,0,0
20-February-2020,0,1,0
21-February-2020,0,0,0
22-February-2020,0,0,0
23-February-2020,0,0,0
24-February-2020,0,0,0
25-February-2020,0,0,0
26-February-2020,0,0,0
27-February-2020,0,0,0
28-February-2020,0,0,0
29-February-2020,0,0,0
01-March-2020,0,0,0
02-March-2020,2,0,0
03-March-2020,1,0,0
04-March-2020,22,0,0
05-March-2020,2,0,0
06-March-2020,1,0,0
07-March-2020,3,0,0
08-March-2020,5,0,0
09-March-2020,9,0,0
10-March-2020,15,1,0
11-March-2020,8,0,0
12-March-2020,10,0,1
13-March-2020,10,6,0
14-March-2020,11,0,1
15-March-2020,10,3,0
16-March-2020,14,1,0
17-March-2020,20,1,1
18-March-2020,25,0,0
19-March-2020,27,5,1
20-March-2020,58,3,0
21-March-2020,78,0,0
22-March-2020,69,0,3
23-March-2020,94,2,2
24-March-2020,74,15,1
25-March-2020,86,3,1
26-March-2020,73,7,5
27-March-2020,153,25,3
28-March-2020,136,10,5
29-March-2020,120,17,3
30-March-2020,187,35,14
31-March-2020,309,13,6
01-April-2020,424,19,6
02-April-2020,486,22,16
03-April-2020,560,39,14
04-April-2020,579,56,13
05-April-2020,609,43,22
06-April-2020,484,65,16
07-April-2020,573,75,27
08-April-2020,565,96,20
09-April-2020,813,70,46
10-April-2020,871,151,22
11-April-2020,854,186,41
12-April-2020,758,114,42
13-April-2020,1243,112,27
14-April-2020,1031,167,37
15-April-2020,886,144,27
16-April-2020,1061,258,26
17-April-2020,922,273,38
18-April-2020,1371,426,35
19-April-2020,1580,388,38
20-April-2020,1239,419,33
21-April-2020,1537,703,53
22-April-2020,1292,394,36
23-April-2020,1667,642,40
24-April-2020,1408,484,59
25-April-2020,1835,442,44
26-April-2020,1607,585,56
27-April-2020,1568,580,58
28-April-2020,1902,636,69
29-April-2020,1705,690,71
30-April-2020,1801,630,75
01-May-2020,2396,962,77
02-May-2020,2564,831,92
03-May-2020,2952,911,140
04-May-2020,3656,1082,103
05-May-2020,2971,1295,128
06-May-2020,3602,1161,91
07-May-2020,3344,1475,104
08-May-2020,3339,1111,97
09-May-2020,3175,1414,115
10-May-2020,4311,1669,112
11-May-2020,3592,1579,81
12-May-2020,3562,1905,120
13-May-2020,3726,1963,137
14-May-2020,3991,1594,97
15-May-2020,3808,2234,104
16-May-2020,4794,4012,120
17-May-2020,5049,2538,152
18-May-2020,4628,2482,131
19-May-2020,6154,3032,146
20-May-2020,5720,3113,134
21-May-2020,6023,3131,148
22-May-2020,6536,3280,142
23-May-2020,6667,2576,142
24-May-2020,7111,3285,156
25-May-2020,6414,3012,150
26-May-2020,5907,3585,173
27-May-2020,7246,3434,188
28-May-2020,7254,3171,176
29-May-2020,8138,11735,269
30-May-2020,8364,4303,205
31-May-2020,8789,4928,222
01-June-2020,7723,3882,201
02-June-2020,8812,4531,222
03-June-2020,9689,3789,259
04-June-2020,9847,4390,274
05-June-2020,9472,4770,286
06-June-2020,10408,5433,297
07-June-2020,10882,5191,261
08-June-2020,8536,5171,271
09-June-2020,9981,5634,272
10-June-2020,11156,6275,358
11-June-2020,11135,6044,394
12-June-2020,11306,7263,388
13-June-2020,12039,8092,309
14-June-2020,11405,7358,324
15-June-2020,10032,10639,396
16-June-2020,11086,7226,2004
17-June-2020,13108,6890,341
18-June-2020,13829,10741,343
19-June-2020,14740,9029,364
20-June-2020,15918,13974,308
21-June-2020,15151,9075,426
22-June-2020,13560,10879,312
23-June-2020,15656,10462,468
24-June-2020,16868,13089,424
25-June-2020,18205,13983,401
26-June-2020,18255,10246,381
27-June-2020,20142,14229,414
28-June-2020,19610,11631,384
29-June-2020,18339,13497,417
30-June-2020,18256,12565,506
01-July-2020,19429,12064,438
02-July-2020,21947,19999,378
03-July-2020,22718,14417,444
04-July-2020,24018,14746,611
05-July-2020,23942,15829,421
06-July-2020,22500,15315,473
07-July-2020,23147,16836,479
08-July-2020,25561,19508,492
09-July-2020,25790,19408,479
10-July-2020,27762,20289,520
11-July-2020,27757,19981,543
12-July-2020,29106,18198,500
13-July-2020,28178,17683,541
14-July-2020,29917,20976,587
